timestamp,d_q,d_v,d_p
34.800000,0.009200,0.115358,1.181448
34.900000,0.009200,0.115714,1.192944
35.000000,0.009200,0.116006,1.204438
35.100000,0.009200,0.116231,1.215913
35.200000,0.009200,0.116390,1.227355
35.300000,0.009200,0.116484,1.238746
35.400000,0.009200,0.116518,1.250072
35.500000,0.009200,0.116495,1.261318
35.600000,0.009200,0.116420,1.272469
35.700000,0.009200,0.116300,1.283512
35.800000,0.009200,0.116138,1.294433
35.900000,0.009200,0.115938,1.305218
36.000000,0.009200,0.115701,1.315855
36.100000,0.009200,0.115428,1.326331
36.200000,0.009200,0.115117,1.336635
36.300000,0.009200,0.114766,1.346756
36.400000,0.009200,0.114369,1.356683
36.500000,0.009200,0.113922,1.366405
36.600000,0.009200,0.113420,1.375913
36.700000,0.009200,0.112860,1.385197
36.800000,0.009200,0.112237,1.394247
36.900000,0.009200,0.111551,1.403056
37.000000,0.009200,0.110801,1.411615
37.100000,0.009200,0.109991,1.419916
37.200000,0.009200,0.109125,1.427951
37.300000,0.009200,0.108207,1.435713
37.400000,0.009200,0.107245,1.443196
37.500000,0.000000,0.084202,1.404408
37.600000,0.000000,0.083599,1.410514
37.700000,0.000000,0.082971,1.416498
37.800000,0.000000,0.082323,1.422357
37.900000,0.000000,0.081654,1.428089
38.000000,0.000000,0.080964,1.433692
38.100000,0.000000,0.080248,1.439163
38.200000,0.000000,0.079501,1.444502
38.300000,0.000000,0.078716,1.449708
38.400000,0.000000,0.077885,1.454779
38.500000,0.000000,0.077002,1.459715
38.600000,0.000000,0.076062,1.464515
38.700000,0.000000,0.075064,1.469179
38.800000,0.000000,0.074006,1.473707
38.900000,0.000000,0.072891,1.478098
39.000000,0.000000,0.071724,1.482354
39.100000,0.000000,0.070514,1.486474
39.200000,0.000000,0.069269,1.490459
39.300000,0.000000,0.067998,1.494310
39.400000,0.000000,0.066711,1.498028
39.500000,0.000000,0.065414,1.501615
39.600000,0.000000,0.064114,1.505072
39.700000,0.000000,0.062812,1.508402
39.800000,0.000000,0.061508,1.511606
39.900000,0.000000,0.060198,1.514686
